datetime,value
2024-08-09 14:53:00,0.115
2024-08-09 14:54:00,0.115
2024-08-09 14:55:00,0.115
2024-08-09 14:56:00,0.115
2024-08-09 14:57:00,0.115
2024-08-09 14:58:00,0.115
2024-08-09 14:59:00,0.115
2024-08-09 15:00:00,0.115
2024-08-09 15:01:00,0.115
2024-08-09 15:02:00,0.115
2024-08-09 15:03:00,0.115
2024-08-09 15:04:00,0.115
2024-08-09 15:05:00,0.115
2024-08-09 15:06:00,0.115
2024-08-09 15:07:00,0.115
2024-08-09 15:08:00,0.0
2024-08-16 06:23:00,0.0
2024-08-16 06:24:00,3.333
2024-08-16 06:25:00,0.152
2024-08-16 06:26:00,0.152
2024-08-16 06:27:00,0.152
2024-08-16 06:28:00,0.152
2024-08-16 06:29:00,0.152
2024-08-16 06:30:00,0.152
2024-08-16 06:31:00,0.152
2024-08-16 06:32:00,0.152
2024-08-16 06:33:00,0.152
2024-08-16 06:34:00,0.152
2024-08-16 06:35:00,0.152
2024-08-16 06:36:00,0.152
2024-08-16 06:37:00,0.152
2024-08-16 06:38:00,0.152
2024-08-16 06:39:00,0.152
2024-08-16 06:40:00,0.152
2024-08-16 06:41:00,0.152
2024-08-16 06:42:00,0.152
2024-08-16 06:43:00,0.152
2024-08-16 06:44:00,0.152
2024-08-16 06:45:00,0.152
2024-08-16 06:46:00,0.152
2024-08-16 06:47:00,0.0
2024-08-16 11:13:00,0.0
2024-08-16 11:14:00,3.333
2024-08-16 11:15:00,1.111
2024-08-16 11:16:00,1.111
2024-08-16 11:17:00,1.111
2024-08-16 11:18:00,0.0
2024-08-16 15:52:00,0.0
2024-08-16 15:53:00,3.333
2024-08-16 15:54:00,0.185
2024-08-16 15:55:00,0.185
2024-08-16 15:56:00,0.185
2024-08-16 15:57:00,0.185
2024-08-16 15:58:00,0.185
2024-08-16 15:59:00,0.185
2024-08-16 16:00:00,0.185
2024-08-16 16:01:00,0.185
2024-08-16 16:02:00,0.185
2024-08-16 16:03:00,0.185
2024-08-16 16:04:00,0.185
2024-08-16 16:05:00,0.185
2024-08-16 16:06:00,0.185
2024-08-16 16:07:00,0.185
2024-08-16 16:08:00,0.185
2024-08-16 16:09:00,0.185
2024-08-16 16:10:00,0.185
2024-08-16 16:11:00,0.185
